Sample number,Location,Collection Date/Time (MDT),Water level (m),Discharge method,Q (m3/s),SC (uS/cm),pH (lab),pH (field),T (field),Ca (mg/L),K (mg/L),Mg (mg/L),Na (mg/L),SiO2 (mg/L),Cl (mg/L),SO4 (mg/L),Alkalinity (mg HCO3/L),NO3 (mg NO3/L),NH4 (mg NH4/L),DOC (mg/L),SUVA (L/mg/m),TSS (mg/L)
10FW007,US1,9/29/10 10:40,--,M,0.01,100,--,7.98,9.3,8.7,0.93,3.47,3.75,11.5,1.5,9.4,41,<0.02,--,2.2,--,--
11FW104,US1,1/5/11 11:18,--,M,0.014,105,--,7.27,0.2,9.72,0.77,3.97,4.3,11.4,2.23,14.4,37.8,0.35,--,1.2,1.6,--
11FW121,US1,3/1/11 16:19,--,M,0.024,112,--,8.26,1.1,9.8,0.8,4,4.36,10.5,2.41,15.2,37.5,0.38,<0.09,1.2,1.86,--
11FW129,US1,3/4/11 9:15,--,E,0.031,114,--,7.76,--,9.92,0.77,4.06,4.39,10.6,2.63,15.1,37.5,0.34,<0.09,1.2,1.76,--
11FW128,US1,3/7/11 10:47,--,M,0.014,107,--,8.35,0.2,9.92,0.75,4.07,4.41,10.5,2.56,15.5,37.7,0.34,<0.09,1.1,1.76,--
11FW111,US1,3/9/11 11:00,--,E,0.012,107,--,7.28,0.2,10,0.74,4.06,4.42,10.5,2.63,15.5,38.1,0.38,<0.09,1.1,1.66,--
11FW134,US1,3/11/11 9:30,--,E,0.013,105,--,7.64,1.2,9.8,0.77,4.06,4.42,10.5,2.64,14.7,36.8,0.43,<0.09,1.1,1.84,--
11FW139,US1,3/14/11 10:20,--,M,0.013,106,--,7.28,--,9.83,0.79,4.07,4.36,10.6,2.96,14.1,36.7,0.3,<0.09,1.1,2.11,--
11FW145,US1,3/16/11 9:55,--,E,0.021,102,--,7.49,0.5,9.43,0.78,3.97,4.25,10.3,3.07,13.6,37.2,0.24,<0.09,1.2,1.93,--
11FW152,US1,3/18/11 11:20,--,E,0.023,101,--,7.92,1.9,9.02,0.76,3.86,4.02,10.1,3.62,12,33.3,0.35,<0.09,1.4,2.17,--
11FW157,US1,3/21/11 9:22,--,M,0.037,102,--,7.37,0.9,9.17,0.74,3.94,4.08,10.2,4.19,12.1,31.5,0.25,<0.09,1.4,2.01,--
11FW166,US1,3/24/11 9:30,--,E,0.034,111,--,7.55,--,10.2,0.83,4.29,4.64,10.8,4.44,16.4,36.6,0.34,<0.09,1.5,1.8,--
11FW173,US1,3/28/11 9:50,--,E,0.034,104,--,7.68,1,9.48,0.75,4.07,4.27,10.2,4.77,12.3,35,0.23,<0.09,1.2,1.93,--
11FW178,US1,3/31/11 9:20,--,E,0.034,105,--,7.5,1.5,9.41,0.7,4.01,4.91,9.27,4.86,12.7,35,0.16,<0.09,1.6,1.58,--
11FW185,US1,4/4/11 9:48,--,M,0.031,110,--,7.15,0.3,9.73,0.8,4.15,4.51,10.5,5.13,14.5,34.8,0.2,<0.09,1.6,1.81,--
11FW190,US1,4/7/11 9:40,--,E,0.034,96,--,7.28,1.2,8.49,0.72,3.77,3.94,9.75,6.01,10.1,31.6,0.09,<0.09,1.9,1.83,--
11FW197,US1,4/11/11 10:10,--,M,0.054,95,--,7.27,1.5,8.01,0.66,3.63,3.91,9.36,6.51,9.1,30.2,0.08,<0.09,2,1.86,--
11FW204,US1,4/14/11 10:25,--,E,0.04,92,--,7.32,0.7,7.9,0.73,3.53,3.78,9.36,6.5,9.1,28.5,0.13,<0.09,1.8,2.14,<6
11FW211,US1,4/15/11 9:00,--,E,0.059,104,--,--,--,8.65,0.79,3.75,4.19,9.76,6.91,9.8,29.6,0.13,<0.09,2.5,1.93,<6
11FW212,US1,4/15/11 11:00,--,E,0.059,95,--,--,--,7.7,0.74,3.47,3.71,9.32,6.84,8.3,28.1,0.11,<0.09,2,2.22,<6
11FW213,US1,4/15/11 13:00,--,E,0.059,93,--,--,--,7.8,0.77,3.49,3.76,9.41,6.9,8,27.1,0.08,<0.09,2,2.26,<6
11FW220,US1,4/15/11 15:00,--,E,0.059,92,--,--,--,7.43,0.74,3.34,3.62,9.41,7.14,7.9,26.2,0.39,<0.09,2,2.28,<6
11FW224,US1,4/15/11 17:00,--,E,0.059,90,--,--,--,7.42,0.75,3.37,3.66,9.29,7.04,7.7,26.1,0.14,<0.09,2,2.26,<6
11FS001,US1,4/15/11 19:00,--,E,0.059,87,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<6
11FW225,US1,4/15/11 21:00,--,E,0.059,89,--,--,--,7.55,0.72,3.44,3.66,9.47,6.94,7.9,26.7,0.11,<0.09,1.9,2.28,<6
11FS002,US1,4/15/11 23:00,--,E,0.059,95,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<6
11FS006,US1,4/16/11 7:00,--,E,0.068,96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11FW223,US1,4/16/11 9:00,--,E,0.068,95,--,--,--,7.87,0.72,3.56,3.79,9.65,6.87,8.2,27.7,0.13,<0.09,1.8,2.18,<6
11FS007,US1,4/16/11 11:00,--,E,0.068,95,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<6
11FS008,US1,4/16/11 13:00,--,E,0.068,96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<6
11FS009,US1,4/16/11 15:00,--,E,0.068,96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<6
11FS010,US1,4/16/11 17:00,--,E,0.068,93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11FS011,US1,4/16/11 19:00,--,E,0.068,92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11FS012,US1,4/16/11 21:00,--,E,0.068,92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11FS013,US1,4/16/11 23:00,--,E,0.068,92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11FS014,US1,4/17/11 1:00,--,E,0.079,91,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11FS015,US1,4/17/11 3:00,--,E,0.079,92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11FS016,US1,4/17/11 5:00,--,E,0.079,92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11FS017,US1,4/17/11 7:00,--,E,0.079,93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11FW234,US1,4/18/11 8:55,--,E,0.093,94,--,7.13,5.7,7.61,0.76,3.5,3.68,9.43,7.38,7.8,27.3,0.13,<0.09,2.3,2.43,--
11FW239,US1,4/21/11 9:45,--,E,0.14,86,--,7.45,3,7.03,0.75,3.26,3.65,9.26,8.28,6.9,23.7,0.26,<0.09,3.1,2.44,9
11FW246,US1,4/25/11 11:20,--,M,0.12,86,--,7.46,--,6.84,0.74,3.18,3.57,9.31,8.14,7.1,27.4,0.1,<0.09,2.9,2.38,7
11FW252,US1,4/28/11 10:50,--,E,0.11,88,--,7.78,3.3,7.28,0.73,3.36,3.67,9.52,7.82,7.6,24.6,0.15,<0.09,3,2.29,<6
11FW259,US1,5/2/11 9:45,--,E,0.093,88,--,7.82,2.2,7.37,0.73,3.38,3.67,9.6,6.98,7.6,26.8,0.13,<0.09,2.8,2.24,<6
11FW264,US1,5/9/11 9:20,--,E,0.16,79,--,7.75,6.4,6.32,0.73,2.9,3.45,9.26,6.4,5.8,23.7,0.06,<0.09,3.2,2.47,8
11FW272,US1,5/11/11 10:45,--,E,0.34,66,--,7.84,1.6,5.25,0.69,2.4,3.06,8.67,5.33,5,19.8,<0.02,<0.09,3.3,2.53,14
11FW278,US1,5/12/11 11:42,--,M,0.31,71,--,7.57,4.1,5.56,0.69,2.54,3.2,8.94,5.84,5.4,20.7,0.22,<0.09,3.3,2.49,9
11FW286,US1,5/13/11 11:00,--,E,0.31,75,--,7.65,5.7,5.93,0.7,2.71,3.34,9.1,6.06,5.5,21.8,0.12,<0.09,3,2.56,8
11FW291,US1,5/16/11 10:29,--,M,0.34,75,--,7.62,5,6.04,0.71,2.74,3.26,9.42,5.55,6,23.5,<0.02,<0.09,3.1,2.55,8
11FW297,US1,5/18/11 14:30,--,E,0.57,72,--,7.6,17.2,5.63,0.8,2.58,3.07,8.79,4.99,5.5,22.7,0.19,<0.09,4.2,2.34,37
11FS050,US1,5/18/11 15:00,--,E,0.57,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30
11FW308,US1,5/18/11 15:30,--,E,0.57,72,--,--,--,5.82,0.8,2.61,3.08,8.98,5.06,5.5,23,0.19,<0.09,3.8,2.58,41
11FS051,US1,5/18/11 16:00,--,E,0.59,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28
11FS052,US1,5/18/11 16:30,--,E,0.59,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29
11FS053,US1,5/18/11 17:00,--,E,0.62,67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25
11FW309,US1,5/18/11 17:30,--,E,0.62,72,--,--,--,5.82,0.78,2.62,3.1,8.86,4.88,5.6,23.1,0.08,<0.09,4,2.61,19
11FS054,US1,5/18/11 18:00,--,E,0.65,71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27
11FS055,US1,5/18/11 18:30,--,E,0.65,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27
11FW310,US1,5/18/11 19:00,--,E,0.68,73,--,--,--,5.95,0.78,2.67,3.1,8.97,4.97,5.8,23.2,0.14,<0.09,4,2.67,16
11FS056,US1,5/18/11 19:30,--,E,0.65,73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,24
11FS057,US1,5/18/11 20:00,--,E,0.68,72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19
11FS058,US1,5/18/11 20:30,--,E,0.68,73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16
11FW311,US1,5/18/11 21:00,--,E,0.68,74,--,--,--,6.05,0.74,2.71,3.1,9.1,5.09,6,23.6,0.2,<0.09,3.9,2.72,16
11FS059,US1,5/18/11 21:30,--,E,0.68,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16
11FS060,US1,5/18/11 22:00,--,E,0.68,73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14
11FS061,US1,5/18/11 22:30,--,E,0.68,73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13
11FW312,US1,5/18/11 23:00,--,E,0.68,73,--,--,--,6.28,0.76,2.79,3.14,9.45,4.83,5.9,24,0.16,<0.09,4.1,2.57,12
11FS062,US1,5/18/11 23:30,--,E,0.68,73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12
11FS063,US1,5/19/11 0:00,--,E,0.68,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11
11FS064,US1,5/19/11 0:30,--,E,0.68,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12
11FS065,US1,5/19/11 1:00,--,E,0.71,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12
11FW313,US1,5/19/11 1:30,--,E,0.68,74,--,--,--,6.17,0.74,2.77,3.18,9.21,4.98,6,24.2,0.16,<0.09,4,2.59,13
11FS066,US1,5/19/11 2:00,--,E,0.68,74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12
11FW333,US1,5/24/11 10:00,--,M,0.82,72,--,7.59,6,6.12,0.82,2.68,3.05,10.4,4.55,6,23.6,0.14,<0.09,5.2,2.56,19
11FW338,US1,5/27/11 7:55,--,E,0.68,67,--,7.44,5.5,5.74,0.77,2.49,2.97,10.1,4.06,5.6,22.9,<0.02,<0.09,4.5,2.51,11
11FW343,US1,6/1/11 10:00,0.43,R,0.57,53,--,7.46,6,4.47,0.62,1.91,2.42,9.22,2.57,4.3,19.6,<0.02,<0.09,3.7,2.51,8
11FW350,US1,6/6/11 9:40,0.488,R,0.74,37,--,7.51,9.7,3.13,0.53,1.26,1.78,8.12,1.47,3.3,14.4,0.2,<0.09,3.6,2.84,13
11FW358,US1,6/9/11 9:35,0.479,R,0.71,33,--,7.33,6.7,2.77,0.48,1.1,1.58,7.86,1.27,2.6,12.9,<0.02,<0.09,3.1,2.99,10
11FW365,US1,6/13/11 9:55,0.462,M,0.65,31,--,7.42,8.5,2.5,0.4,1.11,1.38,7.7,0.96,2.1,13,0.06,<0.09,2.3,3.16,<6
11FW371,US1,6/20/11 10:40,0.506,M,0.79,35,--,7.42,7.2,3.1,0.46,1.19,1.57,7.44,1.38,2.1,14.1,<0.02,<0.09,4.2,3.04,<6
11FS127,US1,6/20/11 16:00,0.445,R,0.62,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12
11FS128,US1,6/20/11 20:00,0.451,R,0.62,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9
11FS129,US1,6/21/11 0:00,0.451,R,0.62,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8
11FS130,US1,6/21/11 4:00,0.445,R,0.59,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8
11FS131,US1,6/21/11 8:00,0.439,R,0.59,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7
11FS132,US1,6/21/11 12:00,0.436,R,0.59,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7
11FS133,US1,6/21/11 16:00,0.427,R,0.57,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8
11FS134,US1,6/21/11 20:00,0.427,R,0.57,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7
11FS135,US1,6/22/11 0:00,0.439,R,0.59,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7
11FS136,US1,6/22/11 4:00,0.427,R,0.57,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6
11FS137,US1,6/22/11 8:00,0.427,R,0.57,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7
11FW390,US1,6/27/11 9:45,0.405,M,0.51,29,--,7.55,8.2,2.5,0.35,0.968,1.37,7.1,0.9,1.8,12.6,0.03,<0.09,1.8,2.58,<6
11FW416,US1,7/7/11 18:32,0.366,R,0.31,50,--,--,--,3.27,0.75,2.25,1.54,6.29,5.61,2.9,12.9,0.11,<0.09,4.8,1.34,207
11FS209,US1,7/7/11 18:52,0.366,R,0.31,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26
11FS210,US1,7/7/11 19:12,0.36,R,0.31,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19
11FW417,US1,7/7/11 19:32,0.372,R,0.34,40,--,--,--,2.92,0.48,1.56,1.42,6.64,2.78,2.3,13.4,<0.02,<0.09,2.3,2.07,21
11FS211,US1,7/7/11 19:52,0.375,R,0.34,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20
11FS212,US1,7/7/11 20:12,0.372,R,0.34,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25
11FS213,US1,7/7/11 20:32,0.372,R,0.34,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,70
11FW418,US1,7/7/11 20:52,0.369,R,0.34,34,--,--,--,2.79,0.52,1.11,1.37,6.58,0.87,2.1,14.3,0.03,<0.09,2.3,2.12,74
11FS214,US1,7/7/11 21:12,0.378,R,0.37,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51
11FS215,US1,7/7/11 21:32,0.372,R,0.37,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25
11FS216,US1,7/7/11 21:52,0.372,R,0.34,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16
11FS217,US1,7/7/11 22:12,0.375,R,0.34,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13
11FW419,US1,7/7/11 22:32,0.372,R,0.34,34,--,--,--,2.79,0.41,1.1,1.38,6.76,0.79,2.1,14.1,<0.02,<0.09,2,2.27,7
11FS218,US1,7/7/11 22:52,0.366,R,0.31,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11
11FS219,US1,7/7/11 23:12,0.36,R,0.31,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8
11FS220,US1,7/7/11 23:32,0.36,R,0.31,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10
11FS221,US1,7/7/11 23:52,0.36,R,0.31,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8
11FS222,US1,7/8/11 0:12,0.357,R,0.28,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8
11FS223,US1,7/8/11 0:32,0.357,R,0.28,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9
11FS224,US1,7/8/11 0:52,0.36,R,0.31,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9
11FS225,US1,7/8/11 1:12,0.363,R,0.31,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8
11FS226,US1,7/8/11 1:32,0.363,R,0.31,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9
11FS227,US1,7/8/11 1:52,0.363,R,0.31,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<6
11FS228,US1,7/8/11 2:12,0.36,R,0.31,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<6
11FW402,US1,7/8/11 11:10,0.357,R,0.28,32,--,7.54,9.7,2.77,0.38,1.08,1.42,7.09,0.73,2.1,14.4,<0.02,<0.09,1.5,2.36,<6
11FS229,US1,7/8/11 11:23,0.347,R,0.26,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9
11FS230,US1,7/8/11 17:23,0.347,R,0.26,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<6
11FS231,US1,7/8/11 23:23,0.354,R,0.28,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8
11FS232,US1,7/9/11 5:23,0.354,R,0.28,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<6
11FS233,US1,7/9/11 11:23,0.344,R,0.25,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<6
11FW434,US1,7/13/11 19:12,0.363,R,0.31,48,--,--,--,3.64,0.58,1.58,1.62,6.92,3.1,2.5,16.6,0.03,<0.09,3.4,1.64,87
11FS299,US1,7/13/11 19:32,0.351,R,0.27,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51
11FS300,US1,7/13/11 19:52,0.351,R,0.27,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38
11FW435,US1,7/13/11 20:12,0.347,R,0.26,38,--,--,--,3.46,0.71,1.43,1.6,8.75,1.33,2.3,17.8,0.08,<0.09,2.3,--,172
11FW436,US1,7/13/11 20:32,0.344,R,0.25,38,--,--,--,3.33,0.52,1.29,1.56,7.06,1.31,2.3,17.1,0.08,<0.09,2.2,2.22,112
11FS301,US1,7/13/11 20:52,0.347,R,0.26,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,58
11FW437,US1,7/13/11 21:12,0.347,R,0.26,37,--,--,--,3.22,0.45,1.26,1.52,7.18,1.21,2.2,17,0.08,<0.09,2,2.34,25
11FS302,US1,7/13/11 21:32,0.341,R,0.24,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17
11FS303,US1,7/13/11 21:52,0.344,R,0.25,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15
11FS304,US1,7/13/11 22:12,0.347,R,0.26,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12
11FS305,US1,7/13/11 22:32,0.341,R,0.24,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11
11FS306,US1,7/13/11 22:52,0.341,R,0.24,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11
11FS307,US1,7/13/11 23:12,0.347,R,0.26,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10
11FS308,US1,7/13/11 23:32,0.347,R,0.26,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11
11FS309,US1,7/13/11 23:52,0.344,R,0.25,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11
11FS310,US1,7/14/11 0:12,0.344,R,0.25,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9
11FS311,US1,7/14/11 0:32,0.344,R,0.25,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9
11FS312,US1,7/14/11 0:52,0.344,R,0.25,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9
11FS313,US1,7/14/11 1:12,0.344,R,0.25,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9
11FS314,US1,7/14/11 1:32,0.344,R,0.25,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9
11FS315,US1,7/14/11 1:52,0.341,R,0.24,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8
11FS316,US1,7/14/11 2:12,0.341,R,0.24,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9
11FS317,US1,7/14/11 2:32,0.344,R,0.25,35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9
11FW422,US1,7/14/11 11:40,0.341,R,0.24,35,--,7.42,10.3,3,0.37,1.18,1.48,7.2,1.03,2.1,16.1,<0.02,<0.09,1.5,2.35,<6
11FW439,US1,7/18/11 11:15,0.323,R,0.2,45,--,7.03,--,3.76,0.47,1.55,1.81,7.68,1.76,2.7,19.5,<0.02,<0.09,2.4,2.65,7
11FW444,US1,7/25/11 10:50,0.283,M,0.14,45,--,7.51,--,3.91,0.46,1.63,1.82,8.32,1.06,2.6,21.1,<0.02,<0.09,1.4,2.39,<6
11FW462,US1,8/3/11 13:38,0.241,R,0.062,58,--,--,--,4.88,0.61,2.05,2.23,9.11,1.77,3.5,25.8,<0.02,<0.09,--,--,<6
11FW480,US1,8/11/11 10:05,0.216,M,0.045,62,--,7.09,10.4,5.62,0.61,2.54,2.54,10.4,1.7,4.4,28,<0.02,<0.09,1.5,2.09,<6
11FW485,US1,8/24/11 9:34,0.192,R,0.026,76,--,--,--,6.41,0.72,2.86,3.05,10.7,1.76,7,31.9,<0.02,<0.09,1.5,2.43,<6
11FW490,US1,9/7/11 10:50,0.207,R,0.034,72,--,7.61,10.5,6.38,0.85,3.02,2.93,10.4,2.01,5.2,30.9,<0.02,<0.09,2.3,1.69,<6
11FW496,US1,9/15/11 7:20,0.219,R,0.044,73,--,7.58,8.3,6.13,0.72,3.14,2.67,10.1,1.92,4.8,30.6,<0.02,<0.09,2.1,2.06,<6
11FW501,US1,9/21/11 9:45,0.189,R,0.025,82,--,7.39,9.3,7.55,0.71,3.36,3.24,11.2,2.12,6.9,34.2,<0.02,<0.036,1.1,--,<6
11FW507,US1,10/3/11 10:10,0.186,M,0.023,89,--,7.88,8.5,7.73,0.84,3.46,3.44,11.3,1.62,7.6,36.2,<0.02,<0.036,1.5,1.82,--
11FW512,US1,10/19/11 9:40,--,M,0.017,87,--,6.62,2.5,7.8,0.77,3.67,3.47,11.3,1.63,8.5,35.5,<0.02,<0.036,1.4,1.69,<6
11FW518,US1,10/31/11 10:00,--,M,0.017,84,--,6.65,1.5,7.67,0.74,3.22,3.25,10.8,1.77,8.8,34.3,0.07,<0.036,1.4,1.63,<6
11FW523,US1,11/28/11 9:30,--,M,0.024,94,--,7.26,0.4,7.95,0.72,3.25,3.58,10.3,2.32,12.5,34.2,<0.02,<0.036,1.29,2.86,<6
11FW529,US1,12/30/11 9:45,--,E,0.014,91,--,7.18,0.8,8.03,0.511,3.3,3.51,10.2,2.24,11.4,36.3,0.14,<0.05,1.19,2.6,<6
12FW105,US1,2/8/12 10:00,--,E,0.014,100,--,6.79,1.7,9.06,0.709,3.74,4.5,10,2.24,12.3,35.7,0.23,<0.05,1.08,1.71,<6
12FW110,US1,3/9/12 13:35,--,E,0.025,97,--,8.31,2.3,9.01,0.74,3.88,4.34,10.1,2.51,11.3,36.3,0.24,<0.05,1.22,1.7,<6
12FW115,US1,3/21/12 9:50,--,M,0.04,117,--,7.11,0.2,10.3,0.786,4.34,4.9,10.5,4.32,13.8,37.8,0.31,<0.05,2.02,1.15,<6
12FW121,US1,4/5/12 12:30,--,M,0.13,87,--,7.08,4.9,7.41,0.722,3.18,3.8,9.75,5.66,7.4,26.7,<0.02,<0.05,2.64,2.25,<6
12FW126,US1,4/12/12 12:20,0.265,R,0.14,81,--,7.13,6.5,6.77,0.693,3.06,3.63,9.55,5.04,6.4,26.6,<0.02,<0.05,2.53,2.31,<6
12FW132,US1,4/18/12 9:50,0.265,R,0.14,71,--,7.6,3,6.01,0.615,2.71,3.27,9.31,3.86,5.5,24.8,<0.02,<0.05,2.04,3.06,<6
12FW137,US1,4/25/12 9:45,0.268,R,0.14,66,--,6.97,5.9,5.71,0.615,2.53,3.16,9.39,2.97,4.9,24.9,<0.02,<0.05,2.1,2.58,<6
12FW143,US1,5/2/12 9:10,0.296,R,0.19,49.4,--,7.3,5.3,4.22,0.518,1.83,2.47,8.62,1.7,3.5,20.5,<0.02,<0.05,1.72,2.7,<6
12FW149,US1,5/8/12 11:06,0.299,R,0.19,46,--,6.78,5.1,4.07,0.486,1.69,2.31,8.27,2.38,3.2,18.4,<0.02,<0.05,1.52,2.58,<6
12FW166,US1,5/16/12 9:30,0.271,M,0.15,48.2,--,7.64,7.4,4.23,0.497,1.79,2.42,8.53,1.47,3.2,21,<0.02,<0.05,1.38,2.38,<6
12FW171,US1,5/23/12 9:48,0.262,R,0.13,45.3,--,7.6,7.5,4.06,0.478,1.72,2.3,8.57,1.23,2.9,20.2,<0.02,<0.05,1.42,2.28,<6
12FW177,US1,5/30/12 9:35,0.238,M,0.099,44.3,--,7.66,7.1,4.23,0.556,1.8,2.59,8.61,2.45,5.6,21.4,<0.02,<0.05,1.4,2.15,<6
12FW183,US1,6/6/12 9:13,0.232,R,0.093,44.8,--,7.8,8.5,4.04,0.5,1.7,2.3,8.61,0.98,2.7,20.8,<0.02,<0.05,1.42,2.68,<6
12FW189,US1,6/13/12 9:25,0.207,M,0.068,49.3,--,7.56,8.5,4.53,0.518,1.89,2.5,9.14,0.9,3.1,23.5,<0.02,<0.05,1.38,1.93,<6
12FW202,US1,6/20/12 10:12,0.18,R,0.048,57.7,--,7.78,10.4,4.82,0.506,2.02,2.5,10.1,0.99,4.1,25.1,<0.02,<0.05,1.39,2.38,<6
12FW208,US1,6/27/12 10:01,0.165,R,0.034,65.7,--,7.79,13.8,5.44,0.585,2.26,2.78,10.7,1.2,5.2,31.1,<0.02,0.09,1.47,2.23,<6
12FW214,US1,7/2/12 9:51,0.158,R,0.031,65,--,7.91,13.5,5.9,0.6,2.45,2.99,10.9,1.14,5.4,30.6,0.13,<0.05,1.47,2.2,<6
12FW228,US1,7/6/12 10:55,0.162,R,0.034,71.5,--,7.64,14.3,5.98,0.631,2.49,3.04,11,1.19,5.4,30.2,<0.02,<0.05,1.75,2.1,7
12FW230,US1,7/6/12 20:54,0.247,R,0.11,57.7,--,7.55,--,4.77,1.04,2.55,2.36,8.42,3.18,3.4,23.9,0.3,<0.05,5.19,2.56,228
12FS051,US1,7/6/12 20:54,0.247,R,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12FS052,US1,7/6/12 21:14,0.247,R,0.11,65,7.45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,98
12FS053,US1,7/6/12 21:34,0.253,R,0.12,63,7.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,53
12FW231,US1,7/6/12 21:54,0.262,R,0.13,52.9,--,--,--,4.44,0.972,2.27,2.39,8.2,3.18,3.4,21.7,0.25,<0.05,5.33,2.62,144
12FS054,US1,7/6/12 21:54,0.262,R,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
